name,store,price,evaluate_num
vivo X20 全面屏 双摄美颜拍照 4GB+64GB 磨砂黑 移动联通电信全网通4G 双卡双待,vivo京东自营官方旗舰店,￥2598.00,14万+条评价
努比亚（nubia）Z17mini 6GB+64GB 香槟金 全网通 移动联通电信4G 双卡双待,努比亚京东自营官方旗舰店,￥1299.00,13万+条评价
OPPO R11s Plus 全面屏双摄拍照 6GB+64GB 黑色 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥2999.00,15万+条评价
努比亚（nubia）Z17 无边框 曜石黑 8GB+64GB 全网通 移动联通电信4G 双卡双待,努比亚京东自营官方旗舰店,￥2499.00,9.4万+条评价
vivo Y71 全面屏 4GB+64GB 香槟金 移动联通电信4G 双卡双待,vivo京东自营官方旗舰店,￥1398.00,8300+条评价
vivo X21i  全面屏 双摄美颜拍照 6GB+64GB 极夜黑  移动联通电信全网通4G 双卡双待,vivo京东自营官方旗舰店,￥2698.00,3000+条评价
飞利浦（PHILIPS） E106 石墨黑 环保材质 防尘防滑 直板按键 移动联通2G 双卡双待 老人 学生备用功能机,飞利浦手机京东自营旗舰店,￥99.00,22万+条评价
守护宝（上海中兴）F888  直板 按键 超长待机 三防老人 双卡双待 黑色 2G移动/联通版,上海中兴守护宝京东自营旗舰店,￥178.00,4.1万+条评价
小米 红米Note4X 全网通版 3GB+32GB 浅蓝色 移动联通电信4G,小米京东官方自营旗舰店,￥899.00,89万+条评价
荣耀 畅玩6X 3GB 32GB 全网通4G 标准版 冰河银,荣耀京东自营旗舰店,￥859.00,1.9万+条评价
三星 Galaxy Note8（SM-N9500）6GB+64GB 谜夜黑 移动联通电信4G 双卡双待,三星手机京东自营官方旗舰店,￥6988.00,1.5万+条评价
华为 G9 青春版 白色 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥849.00,13万+条评价
vivo Y69 全网通 3GB+32GB移动联通电信4G双卡双待 金色 标准版,vivo官方旗舰店,￥999.00,1.1万+条评价
三星 Galaxy S9（SM-G9600/DS）4GB+128GB 谜夜黑 移动联通电信4G 双卡双待,三星手机京东自营官方旗舰店,￥6099.00,7600+条评价
小米 红米5 全面屏 全网通版 2GB+16GB 金色 移动联通电信4G 双卡双待,小米京东官方自营旗舰店,￥799.00,17万+条评价
欧奇（OUKI） P6Pro 全网通4G 超长待机智能 高端商务 一万毫安大电池 双卡双待 黑色,OUKI欧奇手机旗舰店,￥2799.00,200+条评价
天语（K-TOUCH）T2 移动/联通2G 直板按键 双卡双待 老人 学生备用功能机 金色,天语手机京东自营官方旗舰店,￥87.00,13万+条评价
努比亚（nubia）Z17S 全面屏 游戏 黑金 6GB+64GB 全网通 移动联通电信4G 双卡双待,努比亚京东自营官方旗舰店,￥2699.00,2.7万+条评价
詹姆士（GEMRY） 詹姆士R19plus 移动联通电信4G 轻奢商务6G+128G 小牛皮巅峰版,富荣科技三防手机专营店,￥11999.00,50+条评价
飞利浦（PHILIPS）E171L 曜石黑 直板按键 移动联通 老人 老年功能机,,￥238.00,1.3万+条评价
华为 HUAWEI P10 Plus 6GB+64GB 曜石黑 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥2988.00,11万+条评价
魅族 PRO 7 Plus 6GB+64GB 游戏 全网通公开版 静谧黑 移动联通电信4G 双卡双待,魅族京东自营官方旗舰店,￥2799.00,5.7万+条评价
摩托罗拉 Moto Z 4GB+64GB 模块化 流金黑 移动联通电信4G 双卡双待,摩托罗拉手机京东自营官方旗舰店,￥1399.00,2.2万+条评价
中兴 Blade A3 3GB+32GB 曜石黑 移动联通电信4G 人脸识别 双卡双待,中兴手机京东自营官方旗舰店,￥699.00,2.1万+条评价
华为（HUAWEI） 荣耀6 畅玩6  金色 全网通版（2GB+16GB）,新松联手机旗舰店,￥559.00,4.2万+条评价
华为 HUAWEI nova 2 4GB+64GB 曜石黑 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1799.00,14万+条评价
努比亚（nubia）Z17 无边框 烈焰红 6GB+128GB 全网通 移动联通电信4G 双卡双待,努比亚京东自营官方旗舰店,￥2699.00,9.4万+条评价
华为畅享8e 全面屏后置双摄 3G+32G 金色 全网通版 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥999.00,1.1万+条评价
酷派 8712 1GB+8GB 高配版 灵动白 移动4G 双卡双待,酷派京东自营旗舰店,￥269.00,5.8万+条评价
华为（HUAWEI） 荣耀 畅玩6  全网通 移动联通电信4G 智能老人 双卡双待 金色 (2GB RAM+16GB ROM),众盛手机专营店,￥598.00,3.1万+条评价
OPPO A83 全面屏拍照 4GB+32GB 香槟色 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥1299.00,4.4万+条评价
Meitu 美图T8s 4GB+128GB 烈焰红 自拍美颜 全网通移动4G+,美图京东自营官方旗舰店,￥3399.00,2.5万+条评价
OPPO A1 全面屏拍照 3GB+32GB 香槟色 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥999.00,2700+条评价
华为 G9 Plus 32GB 铂雅金 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1199.00,1.5万+条评价
AGM X2 全网通4G 户外三防智能 双卡双待 精英版 6G+64G,AGM手机官方旗舰店,￥2999.00,2600+条评价
三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G 双卡双待,三星手机京东自营官方旗舰店,￥6699.00,4700+条评价
vivo Y75s 全面屏 美颜拍照  移动联通电信4G 双卡双待 香槟金 4+32G,vivo官方旗舰店,￥1298.00,900+条评价
vivo Y83 刘海全面屏 4GB+64GB 极夜黑 移动联通电信4G 双卡双待,vivo京东自营官方旗舰店,￥1498.00,1900+条评价
小米（MI） mix2s 全面屏 黑色 全网通 6G+128G,鹏路网络手机旗舰店,￥3468.00,4400+条评价
华为 Mate 9 Pro 4GB+64GB版 琥珀金 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥2999.00,6.8万+条评价
小米（MI） 小米5A 红米5A  香槟金 全网通(2G+16G)标配,佳沪手机旗舰店,￥558.00,1.6万+条评价
ATMAN X20 全面屏 移动联通电信 全网通4G 智能 指纹+人脸解锁 双卡双待 宝石蓝 高配版 2GB + 16GB,金诚手机专营店,￥539.00,400+条评价
诺亚信（NOAIN） 3310 老人 直板按键备用 移动联通2G 双卡双待 深蓝色,诺亚信手机旗舰店,￥99.00,3300+条评价
三星 Galaxy S9（SM-G9600/DS）4GB+64GB 勃艮第红 移动联通电信4G 双卡双待,三星手机京东自营官方旗舰店,￥5799.00,5800+条评价
努比亚（nubia）M2 畅玩版 黑色 3GB+32GB 全网通 移动联通电信4G 双卡双待,努比亚京东自营官方旗舰店,￥749.00,1.5万+条评价
vivo X20 王者荣耀限量版 双摄美颜游戏 6GB+64GB 移动联通电信全网通4G 双卡双待,vivo京东自营官方旗舰店,￥2998.00,1.1万+条评价
Apple 苹果  iPhone X 全面屏 深空灰色 全网通 64GB,佳沪手机旗舰店,￥7529.00,3.1万+条评价
【华北专享】Apple iPhone X (A1865) 256GB 深空灰色 移动联通电信4G,,￥8799.00,3600+条评价
华为（HUAWEI） 华为 Nova 移动全网通4G 智能 双卡双待 玫瑰金(4G RAM+64G ROM),众盛手机专营店,￥1128.00,2800+条评价
金柏利 001C 移动联通2G 迷你卡片 超薄 学生小 双卡双待 黑色,金诚腾达手机专营店,￥238.00,500+条评价
OPPO A3 超视野全面屏拍照 石榴红/全网通(4G RAM+128G ROM),OPPO官方直营旗舰店,￥1999.00,2200+条评价
OPPO A1 全面屏拍照 3GB+32GB 深海蓝 全网通 移动联通电信4G 双卡双待,,￥999.00,2000+条评价
飞利浦（PHILIPS） E103 陨石黑 环保材质 超强震动 直板按键 移动联通2G 双卡双待 老人 学生备用功能机,飞利浦手机京东自营旗舰店,￥99.00,28万+条评价
华为 麦芒5 全网通 3GB+32GB版 香槟金 移动联通电信4G 双卡双待,华为京东自营官方旗舰店,￥1299.00,2.4万+条评价
守护宝（上海中兴）angelcare L600 直板 按键 超长待机 老人 双卡双待 儒雅黑 2G移动/联通版老人机,上海中兴守护宝京东自营旗舰店,￥99.00,5200+条评价
三星 Galaxy C5（SM-C5000）4GB+32GB 蔷薇粉 移动联通电信4G 双卡双待,三星手机京东自营官方旗舰店,￥1199.00,6万+条评价
魅族 M15 全面屏 全网通公开版 4GB+64GB 曜岩黑 移动联通电信4G 双卡双待,魅族京东自营官方旗舰店,￥1699.00,1.3万+条评价
海尔（Haier） M360 双卡双待 移动联通2G  老人 直板老年 红色 老年版,海尔手机旗舰店,￥196.00,4.9万+条评价
Apple 苹果  iPhone8 Plus  深空灰色 全网通 64GB,佳沪手机旗舰店,￥5618.00,2.3万+条评价
OPPO A79 全面屏拍照 4GB+64GB 香槟色 全网通 移动联通电信4G 双卡双待,OPPO手机京东自营官方旗舰店,￥1799.00,2.2万+条评价
尼凯恩（neken） EN3 电霸 移动/联通 双卡双待 老人 三防 深空黑,尼凯恩手机旗舰店,￥99.00,7.7万+条评价
夏普 SHARP AQUOS S3 mini 全面屏 全网通 6GB+64GB 曜石黑 移动联通电信4G 双卡双待,夏普手机京东自营官方旗舰店,￥1599.00,7900+条评价
